id	label	parent	source
si132	indefinite relative clause	cs334	subject_index
si133	indicative	cs334	subject_index
si134	infinitive	cs334	subject_index
si135	middle	cs334	subject_index
si136	participle	cs334	subject_index
si137	passive	cs334	subject_index
si138	periphrastic	cs334	subject_index
si139	(in) questions	cs334	subject_index
si140	subjunctive equivalents	cs334	subject_index
si141	time	cs334	subject_index
si142	ablatival	cs19	subject_index
si143	adjectival	cs19	subject_index
si144	adverbial	cs19	subject_index
si145	(after) adverbs	cs19	subject_index
si146	anarthrous	cs19	subject_index
si147	apposition, gen. of	cs19	subject_index
si148	apposition, simple	cs19	subject_index
si149	appositional	cs19	subject_index
si150	chains see genitive case: concatenative	cs19	subject_index
si151	cognate	cs19	subject_index
si152	concatenative	cs19	subject_index
si153	definition	cs19	subject_index
si154	direct object	cs19	subject_index
si155	direction see genitive case: destination	cs19	subject_index
si156	domicile	cs19	subject_index
si157	epexegetical see genitive case: apposition Hebrew see genitive case: attributive infinitive (articular)	cs19	subject_index
si158	nominal	cs19	subject_index
si159	possession	cs19	subject_index
si160	pregnant	cs19	subject_index
si161	production/producer	cs19	subject_index
si162	restriction	cs19	subject_index
si163	reverse	cs19	subject_index
si164	space	cs19	subject_index
si165	unaffected	cs19	subject_index
si166	value see genitive case: price verbal	cs19	subject_index
si167	VS. accusative	cs19	subject_index
si168	aorist	cs290	subject_index
si169	passive	cs290	subject_index
si170	perfect	cs290	subject_index
si171	performative see imperative mood: pronouncement permissive	cs290	subject_index
si172	prohibitive	cs290	subject_index
si173	present	cs290	subject_index
si174	request	cs290	subject_index
si175	second person	cs290	subject_index
si176	time element	cs290	subject_index
si177	unaffected	cs290	subject_index
si178	broad-band	cs315	subject_index
si179	aspect	cs315	subject_index
si180	(in) conditions	cs315	subject_index
si181	desiderative	cs315	subject_index
si182	distributive	cs315	subject_index
si183	general see imperfect tense: customary gnomic	cs315	subject_index
si184	inceptive see imperfect tense: ingressive inchoative see imperfect tense: ingressive indicative	cs315	subject_index
si185	habitual see imperfect tense: customary middle	cs315	subject_index
si186	narrow-band	cs315	subject_index
si187	passive	cs315	subject_index
si188	periphrastic	cs315	subject_index
si189	special uses	cs315	subject_index
si190	tendential	cs315	subject_index
si191	time	cs315	subject_index
si192	unaffected	cs315	subject_index
si193	voluntative	cs315	subject_index
si194	aorist	cs249	subject_index
si195	future	cs249	subject_index
si196	imperfect	cs249	subject_index
si197	(after) ὅτι	cs249	subject_index
si198	participle for	cs249	subject_index
si199	perfect	cs249	subject_index
si200	pluperfect	cs249	subject_index
si201	present	cs249	subject_index
si202	(in) relative clauses	cs249	subject_index
si203	(after) ὥστε	cs249	subject_index
si204	adjectival	cs352	subject_index
si205	anarthrous	cs352	subject_index
si206	aorist	cs352	subject_index
si207	articular	cs352	subject_index
si208	dative articular	cs352	subject_index
si209	future	cs352	subject_index
si210	genitive articular	cs352	subject_index
si211	independent	cs352	subject_index
si212	nominal	cs352	subject_index
si213	present	cs352	subject_index
si214	(after) prepositions	cs352	subject_index
si215	simple	cs352	subject_index
